Date : 2026-01-29 23:51:47
Directory : d:\Unity\LoFBR\Assets\Scripts
Total : 94 files,  4958 codes, 38 comments, 230 blanks, all 5226 lines

Languages
+----------+------------+------------+------------+------------+------------+
| language | files      | code       | comment    | blank      | total      |
| d:\Unity\LoFBR\Assets\Scripts\CombatUtils.cs                                     | C#       |         60 |          0 |          2 |         62 |
| d:\Unity\LoFBR\Assets\Scripts\Damage.cs                                          | C#       |         45 |          0 |          2 |         47 |
| d:\Unity\LoFBR\Assets\Scripts\DamageCollisionHandler.cs                          | C#       |         97 |          1 |          3 |        101 |
| d:\Unity\LoFBR\Assets\Scripts\DamageableEntity.cs                                | C#       |         24 |          1 |          1 |         26 |
| d:\Unity\LoFBR\Assets\Scripts\Dash.cs                                            | C#       |         31 |          1 |          2 |         34 |
| d:\Unity\LoFBR\Assets\Scripts\DestroyAfterTime.cs                                | C#       |         26 |          0 |          3 |         29 |
| d:\Unity\LoFBR\Assets\Scripts\DestroyAfterTimeHeal.cs                            | C#       |         30 |          0 |          3 |         33 |
| d:\Unity\LoFBR\Assets\Scripts\DestroyAfterTimePoison.cs                          | C#       |         30 |          0 |          3 |         33 |
| d:\Unity\LoFBR\Assets\Scripts\DestroyAfterTimeTower.cs                           | C#       |         11 |          0 |          2 |         13 |
| d:\Unity\LoFBR\Assets\Scripts\DestroyShield.cs                                   | C#       |         13 |          2 |          4 |         19 |
| d:\Unity\LoFBR\Assets\Scripts\DetectBullets.cs                                   | C#       |         39 |          1 |          3 |         43 |
| d:\Unity\LoFBR\Assets\Scripts\DisplayMana.cs                                     | C#       |         27 |          1 |          2 |         30 |
| d:\Unity\LoFBR\Assets\Scripts\EnemyBase.cs                                       | C#       |         34 |          0 |          0 |         34 |
| d:\Unity\LoFBR\Assets\Scripts\EnemyBehaviour.cs                                  | C#       |        178 |          0 |          0 |        178 |
| d:\Unity\LoFBR\Assets\Scripts\EnemyPlayerBehaviour.cs                            | C#       |        466 |          0 |          1 |        467 |
| d:\Unity\LoFBR\Assets\Scripts\EnemySpawner.cs                                    | C#       |         49 |          2 |          7 |         58 |
| d:\Unity\LoFBR\Assets\Scripts\ExpDisplay.cs                                      | C#       |         28 |          2 |          2 |         32 |
| d:\Unity\LoFBR\Assets\Scripts\Extensions.cs                                      | C#       |         31 |          0 |          2 |         33 |
| d:\Unity\LoFBR\Assets\Scripts\FireBehaviour.cs                                   | C#       |         21 |          0 |          2 |         23 |
| d:\Unity\LoFBR\Assets\Scripts\FriendlyBase.cs                                    | C#       |         36 |          1 |          2 |         39 |
| d:\Unity\LoFBR\Assets\Scripts\FriendlyBehaviour.cs                               | C#       |        180 |          0 |          3 |        183 |
| d:\Unity\LoFBR\Assets\Scripts\FriendlySpawner.cs                                 | C#       |         49 |          2 |          7 |         58 |
| d:\Unity\LoFBR\Assets\Scripts\HealingBullet.cs                                   | C#       |         75 |          0 |          2 |         77 |
| d:\Unity\LoFBR\Assets\Scripts\Health.cs                                          | C#       |        141 |          0 |          2 |        143 |
| d:\Unity\LoFBR\Assets\Scripts\IMainPlayer.cs                                     | C#       |          8 |          0 |          2 |         10 |
| d:\Unity\LoFBR\Assets\Scripts\IMortal.cs                                         | C#       |          8 |          0 |          1 |          9 |
| d:\Unity\LoFBR\Assets\Scripts\IReloadable.cs                                     | C#       |          7 |          0 |          2 |          9 |
| d:\Unity\LoFBR\Assets\Scripts\ISpawner.cs                                        | C#       |         10 |          0 |          2 |         12 |
| d:\Unity\LoFBR\Assets\Scripts\Immolate.cs                                        | C#       |         75 |          0 |          2 |         77 |
| d:\Unity\LoFBR\Assets\Scripts\Level.cs                                           | C#       |         45 |          0 |          2 |         47 |
| d:\Unity\LoFBR\Assets\Scripts\LevelText.cs                                       | C#       |         17 |          2 |          2 |         21 |
| d:\Unity\LoFBR\Assets\Scripts\LookAtCamera.cs                                    | C#       |         16 |          1 |          3 |         20 |
| d:\Unity\LoFBR\Assets\Scripts\Mana.cs                                            | C#       |         62 |          0 |          2 |         64 |
| d:\Unity\LoFBR\Assets\Scripts\ManaDrain.cs                                       | C#       |         63 |          1 |          2 |         66 |
| d:\Unity\LoFBR\Assets\Scripts\MasterScript.cs                                    | C#       |        327 |          0 |          1 |        328 |
| d:\Unity\LoFBR\Assets\Scripts\Melee.cs                                           | C#       |         74 |          0 |          2 |         76 |
| d:\Unity\LoFBR\Assets\Scripts\MeleeCollider.cs                                   | C#       |         19 |          1 |          3 |         23 |
| d:\Unity\LoFBR\Assets\Scripts\MoveAllEnemy.cs                                    | C#       |         21 |          0 |          2 |         23 |
| d:\Unity\LoFBR\Assets\Scripts\MoveAllFriendly.cs                                 | C#       |         21 |          0 |          2 |         23 |
| d:\Unity\LoFBR\Assets\Scripts\Parry.cs                                           | C#       |         37 |          0 |          2 |         39 |
| d:\Unity\LoFBR\Assets\Scripts\ParryColliderBehaviour.cs                          | C#       |         32 |          0 |          2 |         34 |
| d:\Unity\LoFBR\Assets\Scripts\PauseGame.cs                                       | C#       |         48 |          0 |          2 |         50 |
| d:\Unity\LoFBR\Assets\Scripts\PlayerController.cs                                | C#       |        181 |          0 |          3 |        184 |
| d:\Unity\LoFBR\Assets\Scripts\PoisonBullet.cs                                    | C#       |         73 |          0 |          1 |         74 |
| d:\Unity\LoFBR\Assets\Scripts\RegenAura.cs                                       | C#       |         55 |          1 |          3 |         59 |
| d:\Unity\LoFBR\Assets\Scripts\Reload.cs                                          | C#       |         75 |          0 |          1 |         76 |
| d:\Unity\LoFBR\Assets\Scripts\SetSkillSet.cs                                     | C#       |         18 |          0 |          2 |         20 |
| d:\Unity\LoFBR\Assets\Scripts\SetVolume.cs                                       | C#       |         24 |          0 |          1 |         25 |
| d:\Unity\LoFBR\Assets\Scripts\Shield.cs                                          | C#       |         16 |          7 |          2 |         25 |
| d:\Unity\LoFBR\Assets\Scripts\Shock.cs                                           | C#       |         27 |          2 |          2 |         31 |
| d:\Unity\LoFBR\Assets\Scripts\ShootHeal.cs                                       | C#       |         70 |          0 |          1 |         71 |
| d:\Unity\LoFBR\Assets\Scripts\ShootLeft.cs                                       | C#       |         79 |          0 |          1 |         80 |
| d:\Unity\LoFBR\Assets\Scripts\ShootPoison.cs                                     | C#       |         71 |          0 |          1 |         72 |
| d:\Unity\LoFBR\Assets\Scripts\ShootRight.cs                                      | C#       |         74 |          0 |          1 |         75 |
| d:\Unity\LoFBR\Assets\Scripts\Skillset.cs                                        | C#       |         91 |          0 |          3 |         94 |
| d:\Unity\LoFBR\Assets\Scripts\SkillsetFighter.cs                                 | C#       |         62 |          0 |          3 |         65 |
| d:\Unity\LoFBR\Assets\Scripts\SkillsetMelee.cs                                   | C#       |         63 |          0 |          3 |         66 |
| d:\Unity\LoFBR\Assets\Scripts\SkillsetSupport.cs                                 | C#       |         64 |          0 |          3 |         67 |
| d:\Unity\LoFBR\Assets\Scripts\SpawnShieldFriendly.cs                             | C#       |         23 |          1 |          3 |         27 |
| d:\Unity\LoFBR\Assets\Scripts\StackingHandler.cs                                 | C#       |         21 |          1 |          1 |         23 |
| d:\Unity\LoFBR\Assets\Scripts\TowerBehaviour.cs                                  | C#       |         71 |          0 |          2 |         73 |
| d:\Unity\LoFBR\Assets\Scripts\TowerBehaviourEnemy.cs                             | C#       |         11 |          0 |          2 |         13 |
| d:\Unity\LoFBR\Assets\Scripts\TowerBehaviourFriendly.cs                          | C#       |         11 |          0 |          1 |         12 |
| d:\Unity\LoFBR\Assets\Scripts\UltAttack.cs                                       | C#       |         25 |          1 |          3 |         29 |
| d:\Unity\LoFBR\Assets\Scripts\UltAttackHeal.cs                                   | C#       |         30 |          0 |          2 |         32 |
| d:\Unity\LoFBR\Assets\Scripts\UltBladeFlurry.cs                                  | C#       |         77 |          0 |          2 |         79 |
| d:\Unity\LoFBR\Assets\Scripts\UltBulletBehaviour.cs                              | C#       |         57 |          0 |          2 |         59 |
| d:\Unity\LoFBR\Assets\Scripts\UltBulletBehaviourEnemy.cs                         | C#       |         57 |          0 |          2 |         59 |
| d:\Unity\LoFBR\Assets\Scripts\UltRez.cs                                          | C#       |         35 |          1 |          4 |         40 |
| d:\Unity\LoFBR\Assets\Scripts\UseArmorAura.cs                                    | C#       |         50 |          1 |          3 |         54 |
| d:\Unity\LoFBR\Assets\Scripts\UseShield.cs                                       | C#       |         34 |          1 |          2 |         37 |
| d:\Unity\LoFBR\Assets\Scripts\changeScene.cs                                     | C#       |         21 |          2 |          4 |         27 |
| d:\Unity\LoFBR\Assets\Scripts\checkShockWave.cs                                  | C#       |         52 |          1 |          3 |         56 |
| d:\Unity\LoFBR\Assets\Scripts\healthdisplay.cs                                   | C#       |         29 |          0 |          1 |         30 |
| Total                                                                            |          |      4,958 |         38 |        230 |      5,226 |
+----------------------------------------------------------------------------------+----------+------------+------------+------------+------------+
